pk,date,hour,venue_id,venue,home_id,home,away_id,away,home_score,away_score,total,home_sp,away_sp,home_sp_name,away_sp_name,season,home_era,away_era,home_ip,away_ip
777969,2025-05-11,17,2394,Comerica Park,116,Detroit Tigers,140,Texas Rangers,1,6,7,681857,543135,Reese Olson,Nathan Eovaldi,2025,3.026,2.034,38.7,48.7
777964,2025-05-11,17,2523,George M. Steinbrenner Field,139,Tampa Bay Rays,158,Milwaukee Brewers,2,4,6,656876,694477,Drew Rasmussen,Chad Patrick,2025,3.086,3.079,35.0,38.0
777963,2025-05-11,18,2392,Daikin Park,117,Houston Astros,113,Cincinnati Reds,6,0,6,669854,695534,Ronel Blanco,Chase Petty,2025,4.981,,34.3,2.3
777965,2025-05-11,18,7,Kauffman Stadium,118,Kansas City Royals,111,Boston Red Sox,1,3,4,607625,608337,Seth Lugo,Lucas Giolito,2025,2.842,,50.7,9.7
777956,2025-05-11,18,3312,Target Field,142,Minnesota Twins,137,San Francisco Giants,7,6,13,641154,694738,Pablo López,Landen Roupp,2025,2.182,4.886,33.0,35.0
777966,2025-05-11,18,4,Rate Field,145,Chicago White Sox,146,Miami Marlins,4,2,6,680732,645261,Sean Burke,Sandy Alcantara,2025,4.347,8.419,39.3,31.0
777955,2025-05-11,19,19,Coors Field,115,Colorado Rockies,135,San Diego Padres,9,3,12,608566,601713,Germán Márquez,Nick Pivetta,2025,9.9,2.008,30.0,40.3
777957,2025-05-11,20,2529,Sutter Health Park,133,Athletics,147,New York Yankees,2,12,14,622663,642232,Luis Severino,Ryan Yarbrough,2025,3.624,,49.7,19.3
777961,2025-05-11,20,1,Angel Stadium,108,Los Angeles Angels,110,Baltimore Orioles,3,7,10,542881,621107,Tyler Anderson,Zach Eflin,2025,2.678,,40.3,18.0
777954,2025-05-11,20,15,Chase Field,109,Arizona Diamondbacks,119,Los Angeles Dodgers,1,8,9,668678,664062,Zac Gallen,Tony Gonsolin,2025,4.368,,45.3,11.0
777958,2025-05-11,20,680,T-Mobile Park,136,Seattle Mariners,141,Toronto Blue Jays,1,9,10,682243,570632,Bryce Miller,José Ureña,2025,4.154,,34.7,7.3
777971,2025-05-11,23,5,Progressive Field,114,Cleveland Guardians,143,Philadelphia Phillies,0,3,3,682847,554430,Luis Ortiz,Zack Wheeler,2025,5.304,3.353,37.3,51.0
777960,2025-05-12,22,5,Progressive Field,114,Cleveland Guardians,158,Milwaukee Brewers,5,0,5,594902,642547,Ben Lively,Freddy Peralta,2025,3.456,2.184,41.7,45.3
777951,2025-05-12,22,2394,Comerica Park,116,Detroit Tigers,111,Boston Red Sox,14,2,16,695549,656557,Jackson Jobe,Tanner Houck,2025,4.88,6.097,27.7,41.3
777953,2025-05-12,22,2681,Citizens Bank Park,143,Philadelphia Phillies,138,St. Louis Cardinals,2,3,5,650911,669461,Cristopher Sánchez,Matthew Liberatore,2025,2.893,3.073,37.3,41.0
